topic_id_x,topic_id_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,160,,,,,,,,,,,1.0
1,162,,,,,,,1.0,,,,
1,166,,,,,,,2.0,1.0,,1.0,
1,167,,,,,,,,,1.0,,
1,169,,,1.0,,1.0,1.0,,,,2.0,
1,170,,3.0,,,2.0,2.0,1.0,1.0,2.0,1.0,
1,171,,,,,,,,,1.0,,
1,172,1.0,,,,,,,,,,
1,173,,,,,,,1.0,,,,
1,174,,1.0,,1.0,1.0,1.0,3.0,3.0,,2.0,
1,175,,1.0,1.0,3.0,,1.0,2.0,,1.0,2.0,
1,177,,,,,,,,1.0,,1.0,
1,178,,,1.0,6.0,3.0,5.0,2.0,,,4.0,2.0
1,179,,,,,,1.0,1.0,3.0,3.0,2.0,
1,180,,,,1.0,,,,2.0,2.0,2.0,
1,183,,1.0,1.0,3.0,7.0,6.0,3.0,6.0,8.0,4.0,1.0
1,184,1.0,3.0,3.0,,,2.0,2.0,2.0,1.0,4.0,3.0
1,185,,,,1.0,,,2.0,1.0,,,
1,187,,,,,,1.0,,,,1.0,
1,188,1.0,,,2.0,,1.0,,,1.0,,
1,190,,1.0,,,,,,,,,
1,191,,,,1.0,,,,,1.0,,1.0
1,192,,,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,
1,196,,,,,,2.0,,1.0,2.0,,1.0
1,197,,,,,3.0,4.0,3.0,1.0,6.0,6.0,3.0
2,3,,,,,,,,,,1.0,
2,4,1.0,,,,1.0,,,,,,1.0
2,5,,,,1.0,,,,,2.0,,
2,7,,,,,1.0,2.0,4.0,1.0,,,
2,8,,1.0,,1.0,1.0,4.0,7.0,6.0,10.0,10.0,5.0
2,9,,,,,1.0,,1.0,,1.0,3.0,2.0
2,11,,,,,,,1.0,1.0,,,
2,13,,,,1.0,1.0,,,,1.0,,
2,14,,1.0,,,1.0,5.0,4.0,7.0,12.0,9.0,2.0
2,15,,,1.0,,,2.0,,,1.0,3.0,
2,16,,,,,,1.0,,,,,1.0
2,17,,,,,,,,,,1.0,
2,18,,,1.0,,,2.0,,,2.0,1.0,
2,19,,,,,,1.0,,,,,
2,21,,,,,1.0,,,2.0,,,
2,22,,,,,,,,1.0,,1.0,
2,23,,,,2.0,1.0,4.0,6.0,8.0,12.0,9.0,1.0
2,24,,,,1.0,,,,,,,
2,26,,,,,,2.0,,,,,
2,27,,,,,,,,1.0,,,
2,28,,,,,,,,1.0,,1.0,
2,29,,,,,1.0,1.0,4.0,1.0,2.0,2.0,
2,31,,,1.0,,,1.0,1.0,1.0,2.0,2.0,
2,32,,,,2.0,1.0,1.0,1.0,2.0,2.0,5.0,
2,33,,,2.0,1.0,2.0,6.0,3.0,4.0,4.0,3.0,1.0
2,35,,,,1.0,,,,1.0,1.0,,1.0
2,37,,,,,,1.0,,,,,2.0
2,38,,,,,1.0,1.0,1.0,,1.0,2.0,1.0
2,39,,,1.0,,1.0,2.0,2.0,2.0,2.0,,1.0
2,41,,,,,,,,,,3.0,
2,43,,,,,1.0,,2.0,,,,1.0
2,44,,,1.0,,,,1.0,1.0,2.0,1.0,
2,45,,,,,,1.0,1.0,,2.0,,
2,46,,,,,,,,1.0,,,
2,47,,,,,1.0,,,,,1.0,
2,48,,,,,1.0,2.0,,,,,
2,49,,,,,,1.0,2.0,,,1.0,
2,51,,,,,,1.0,1.0,2.0,1.0,3.0,1.0
2,52,,,2.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0
2,55,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0
2,56,1.0,,2.0,1.0,3.0,8.0,10.0,8.0,3.0,4.0,1.0
2,58,,,,,,,,,,1.0,
2,59,,,1.0,,,,1.0,1.0,,1.0,1.0
2,61,,,1.0,,,,1.0,,,,
2,62,,,,1.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0
2,63,,,,,,,,,,,1.0
2,65,,1.0,,1.0,,1.0,,,,,
2,66,,,,,,,,,1.0,,
2,67,1.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,5.0,3.0,
2,68,,,3.0,3.0,1.0,5.0,1.0,5.0,6.0,2.0,1.0
2,70,,,,,,1.0,,,,1.0,
2,71,,,,,,,,,,,2.0
2,72,1.0,3.0,4.0,3.0,3.0,8.0,13.0,17.0,18.0,12.0,11.0
2,76,,1.0,2.0,1.0,2.0,,,2.0,2.0,1.0,
2,77,,1.0,,1.0,4.0,,1.0,4.0,5.0,7.0,4.0
2,78,,,,,,,,,,1.0,
2,80,,1.0,,3.0,2.0,2.0,1.0,4.0,,1.0,
2,81,,1.0,1.0,,1.0,,,2.0,5.0,,1.0
2,83,,,,1.0,,,,,1.0,1.0,
2,84,,1.0,,,,,,,,,
2,86,,,,,1.0,,1.0,1.0,2.0,,
2,88,,,1.0,,,2.0,,2.0,,2.0,
2,89,1.0,,,,1.0,4.0,6.0,5.0,6.0,8.0,
2,90,,,,,,,1.0,,,,
2,91,,,,,,,,1.0,1.0,,
2,92,,,,1.0,1.0,3.0,,1.0,,3.0,1.0
2,94,,,,,,,,,,1.0,
2,95,,1.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0
2,96,,1.0,,2.0,,1.0,3.0,1.0,2.0,1.0,
2,97,,,,,,1.0,,,,,
2,99,,,1.0,,,,,,,,
2,102,,,,,,,,1.0,,,
2,103,,,1.0,,,,,,1.0,1.0,
2,104,,,,,1.0,,,,,,
2,105,,,1.0,,1.0,,,2.0,1.0,3.0,1.0
2,107,1.0,3.0,2.0,5.0,3.0,9.0,3.0,5.0,4.0,4.0,
2,108,1.0,3.0,,1.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0
2,109,,,,,,,1.0,,,,
2,110,,,,1.0,3.0,2.0,1.0,,4.0,1.0,
2,111,,,,,,,,1.0,,,
2,112,,,,2.0,,,1.0,,3.0,1.0,
2,113,,,,,,1.0,,,,,
2,114,1.0,,,,1.0,,1.0,1.0,,1.0,
2,116,,,,,,,,1.0,1.0,,1.0
2,117,,,,,1.0,,,,,,
2,118,,,,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0
2,119,,,,,1.0,,,,,1.0,
2,121,,,,3.0,4.0,1.0,1.0,,1.0,,
2,122,,,,,,,1.0,,2.0,,
2,123,,,1.0,3.0,,1.0,3.0,6.0,1.0,4.0,5.0
2,124,,,,,,,,1.0,,,1.0
2,125,,,,1.0,,,,,,,
2,126,,,,,,,,,,1.0,
2,127,,,,1.0,,,,,,,
2,128,,,,,,,1.0,,,,
2,130,,,2.0,,,,,,1.0,,1.0
2,131,,2.0,,,1.0,2.0,4.0,1.0,6.0,3.0,4.0
2,132,,,,,,,1.0,,,,
2,133,,,,,1.0,,2.0,,1.0,,
2,134,,,,,1.0,,,,2.0,,
2,135,,,,,,1.0,,,,,
2,136,1.0,,,3.0,5.0,5.0,8.0,7.0,4.0,12.0,6.0
2,137,,,,,,1.0,,2.0,1.0,,1.0
2,138,,,,1.0,,,,,,1.0,
2,139,,,,,,2.0,1.0,1.0,,1.0,1.0
2,140,,,,,2.0,1.0,7.0,3.0,3.0,3.0,
2,141,,,,,,,,,,,1.0
2,142,,,,,,1.0,,,,,
2,143,,,,,,,,1.0,,1.0,1.0
2,144,,,,,,2.0,1.0,,1.0,3.0,2.0
2,145,,,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,
2,147,,,,1.0,,1.0,,,,1.0,
2,148,,,,1.0,3.0,,,4.0,6.0,1.0,5.0
2,149,,,,1.0,2.0,1.0,3.0,3.0,2.0,1.0,
2,150,,,1.0,2.0,2.0,1.0,2.0,,3.0,3.0,
2,151,,1.0,,,1.0,2.0,,1.0,,1.0,
2,152,,2.0,,1.0,1.0,2.0,1.0,,9.0,5.0,
2,154,,1.0,,2.0,1.0,,1.0,1.0,,,
2,155,,,,,,,1.0,,,1.0,
2,157,,3.0,5.0,3.0,1.0,3.0,4.0,4.0,6.0,2.0,2.0
2,158,,,,,,,,,,,1.0
2,161,,,1.0,,1.0,,,2.0,,,
2,162,,,1.0,,,1.0,3.0,2.0,3.0,2.0,
2,163,,2.0,,,1.0,,1.0,5.0,1.0,2.0,1.0
2,164,,,,2.0,1.0,4.0,4.0,,2.0,1.0,1.0
2,165,,,,,,,,,,1.0,
2,167,,,,,,,,,2.0,3.0,2.0
2,168,1.0,,,,,,2.0,2.0,4.0,4.0,
2,169,,,,,,,,,1.0,,
2,170,,,,,,,1.0,,1.0,1.0,
2,171,,,,,,2.0,,,,1.0,
2,174,1.0,,,,2.0,8.0,4.0,3.0,2.0,3.0,
2,175,,3.0,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,
2,176,,,,,1.0,,,1.0,,,
2,177,1.0,,,,,6.0,13.0,7.0,4.0,5.0,1.0
2,178,,,,,,,,1.0,1.0,,
2,179,,,,3.0,1.0,1.0,5.0,2.0,6.0,5.0,1.0
2,181,,,,,,,1.0,,,1.0,
2,182,,,1.0,,1.0,,3.0,1.0,,3.0,
2,183,,,,,,,1.0,,1.0,,
2,185,,,,1.0,1.0,1.0,,1.0,3.0,1.0,
2,186,,,,,,,,1.0,3.0,,
2,189,,1.0,,1.0,,2.0,,1.0,,1.0,1.0
2,190,,,,,,,,,1.0,,
2,191,,,,,,1.0,1.0,,,1.0,1.0
2,193,,,,,,,,,1.0,,
2,194,,,3.0,6.0,4.0,5.0,5.0,6.0,10.0,8.0,4.0
2,195,,,,,2.0,,1.0,,1.0,,2.0
2,196,,1.0,,,,,,1.0,1.0,4.0,
2,197,,,,,1.0,1.0,1.0,,1.0,1.0,1.0
2,198,,,,,1.0,2.0,2.0,3.0,1.0,6.0,3.0
3,4,,,,,,1.0,,,,,
3,6,,,,,,1.0,1.0,3.0,1.0,,
3,8,1.0,,1.0,3.0,5.0,9.0,5.0,3.0,4.0,7.0,2.0
3,9,,,,,,,,,,,1.0
3,10,,,,1.0,1.0,,1.0,1.0,,,1.0
3,13,2.0,2.0,4.0,3.0,6.0,4.0,9.0,9.0,2.0,5.0,3.0
3,15,1.0,,3.0,1.0,,5.0,2.0,1.0,3.0,4.0,2.0
3,16,,3.0,,1.0,3.0,3.0,3.0,7.0,5.0,4.0,2.0
3,17,,,,,1.0,,,,,,
3,18,,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0
3,21,,,1.0,,,3.0,2.0,,2.0,3.0,3.0
3,22,,,,,2.0,1.0,1.0,1.0,6.0,5.0,
3,23,1.0,1.0,2.0,,4.0,1.0,6.0,6.0,9.0,6.0,1.0
3,25,,,,1.0,,,,,1.0,2.0,
3,26,2.0,11.0,19.0,16.0,34.0,26.0,27.0,45.0,43.0,31.0,11.0
3,27,,,,,,,,,2.0,2.0,
3,28,,,1.0,,,,,,,,
3,29,,,,,,1.0,,,,,
3,30,,,,,,,4.0,5.0,6.0,11.0,6.0
3,31,1.0,1.0,2.0,4.0,5.0,5.0,8.0,4.0,5.0,8.0,1.0
3,32,1.0,1.0,,4.0,10.0,9.0,24.0,46.0,37.0,47.0,26.0
3,33,,,,,,,1.0,,1.0,,1.0
3,37,,,,,,,,,1.0,,
3,38,1.0,,1.0,1.0,,1.0,2.0,2.0,4.0,5.0,3.0
3,40,,,1.0,,,1.0,,1.0,,,
3,41,2.0,2.0,8.0,4.0,14.0,10.0,16.0,26.0,23.0,35.0,20.0
3,42,,1.0,1.0,3.0,9.0,4.0,7.0,13.0,7.0,7.0,5.0
3,43,2.0,1.0,1.0,,,4.0,6.0,4.0,2.0,1.0,2.0
3,44,,,,,,,,,1.0,1.0,
3,45,,,,,1.0,,,1.0,1.0,,
3,46,,,,,,,1.0,1.0,1.0,,
3,47,5.0,,2.0,5.0,4.0,6.0,7.0,6.0,5.0,5.0,2.0
3,48,,,,,,,1.0,,,,
3,49,,,,,,,,,,1.0,
3,50,,,,,,,,,,1.0,
3,51,,,3.0,,1.0,2.0,3.0,5.0,6.0,5.0,1.0
3,52,,,1.0,,,1.0,,,1.0,1.0,
3,53,,,,,,,,1.0,1.0,,
3,55,,,,,,,,,1.0,,
3,56,,,,,,,,,1.0,2.0,
3,58,,,,,1.0,,,,,1.0,
3,59,4.0,3.0,2.0,6.0,10.0,9.0,16.0,24.0,23.0,22.0,18.0
3,60,,,,,,1.0,,,2.0,,1.0
3,61,,,,,,,,,,,1.0
3,62,,,,,,,1.0,,,,
3,63,2.0,1.0,,1.0,1.0,3.0,,3.0,5.0,3.0,2.0
3,65,,,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,
3,66,,,,,,,,,1.0,,
3,67,,,,,,,,1.0,,,
3,68,,,,,,,,2.0,,1.0,
3,69,,,,,,,,1.0,,,
3,70,,,,,1.0,1.0,,,,1.0,
3,71,,,,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0
3,72,,,,,1.0,,,,,,
3,73,,,,,1.0,,1.0,,,,
3,74,,,,,,,,,2.0,,
3,76,,,,,,,,,1.0,,1.0
3,77,,1.0,,1.0,2.0,1.0,,4.0,,1.0,
3,78,,,,,,,,,1.0,1.0,
3,80,,,1.0,,,1.0,,6.0,2.0,1.0,
3,81,,,,,1.0,,1.0,,,,1.0
3,83,,,,,,1.0,1.0,,,,
3,85,,,,,,,,1.0,1.0,2.0,1.0
3,87,,,,,,,,,,1.0,
3,88,,,,,,,,1.0,1.0,,
3,89,,,,,,,,,,1.0,
3,90,,,,,,,1.0,,,,
3,91,,,,,,,,,1.0,,
3,92,,,,,,,,1.0,,,
3,93,1.0,3.0,7.0,10.0,6.0,13.0,14.0,17.0,15.0,16.0,10.0
3,94,3.0,4.0,6.0,15.0,15.0,13.0,18.0,29.0,41.0,36.0,15.0
